Player,Team,FGM/A*,FG%,FTM/A*,FT%,3PTM,PTS,REB,AST,ST,BLK,TO
K. George,"UTA - PG,SG",403/977,0.412,214/251,0.853,171,1191,250,381,59,5,135
M. Monk,"SAC - SG,SF",393/887,0.443,161/192,0.839,158,1105,222,414,53,29,163
A. Horford,"BOS - PF,C",176/359,0.49,17.0/23.0,0.739,93,462,384,154,36,59,48
A. Thompson,"HOU - SG,SF",334/604,0.553,130/186,0.699,19,817,459,230,96,56,124
T. Jackson-Davis,"GSW - PF,C",298/434,0.687,91.0/156,0.583,0,687,451,95,41,104,69
K. Olynyk,TOR - C,296/565,0.524,137/167,0.82,69,798,387,320,68,41,127
J. Hart,"NYK - SF,PF",309/667,0.463,90.0/115,0.783,110,818,628,327,86,19,167
G. Trent Jr.,"MIL - PG,SG",299/707,0.423,58.0/74.0,0.784,178,834,162,106,81,14,55
A. Gordon,"DEN - PF,C",452/803,0.563,193/293,0.659,52,1149,500,260,52,66,118
K. Caldwell-Pope,"ORL - SG,SF",311/711,0.437,146/165,0.885,153,921,279,155,89,28,104
W. Carter Jr.,ORL - C,268/506,0.53,113/159,0.711,67,716,427,128,31,37,101
B. Podziemski,GSW - SG,412/940,0.438,94.0/142,0.662,217,1135,473,301,71,23,112
J. Clarkson,"UTA - SG,SF",391/942,0.415,193/230,0.839,146,1121,240,283,38,14,113
B. Hield,"GSW - SG,SF",369/837,0.441,57.0/64.0,0.891,220,1015,279,204,63,21,107
D. Melton,"GSW - PG,SG",268/662,0.405,100/122,0.82,141,777,288,201,120,40,136
V. Williams Jr.,"MEM - PG,SG",195/412,0.473,111/153,0.725,70,571,434,81,24,52,77
Z. Edey,MEM - C,285/463,0.616,175/241,0.726,0,745,557,92,28,124,124
N. Powell,"LAC - SG,SF",411/869,0.473,212/259,0.819,167,1201,215,136,61,31,102
D. Gafford,"DAL - PF,C",334/445,0.751,151/220,0.686,0,819,586,98,43,148,94
K. Thompson,"DAL - SG,SF",408/964,0.423,106/115,0.922,240,1162,234,167,36,38,97
D. Avdija,"POR - SF,PF",420/854,0.492,199/268,0.743,99,1138,511,268,72,27,107
D. DiVincenzo,"NYK - SG,SF",377/887,0.425,81.0/104,0.779,254,1089,290,234,99,19,169
J. Jaquez Jr.,MIA - SF,404/810,0.499,140/171,0.819,78,1026,332,228,92,33,101
G. Allen,"PHX - PG,SG",303/644,0.47,127/144,0.882,177,910,286,205,59,23,55
R. Westbrook,DEN - PG,262/596,0.44,99.0/142,0.697,37,660,192,230,64,26,90
A. Drummond,PHI - C,160/290,0.552,59.0/110,0.536,0,379,455,88,52,46,77
K. Johnson,"SAS - SG,SF",348/770,0.452,194/243,0.798,116,1006,373,186,53,11,72
